input,output
Translate English to Bangla: would you like to eat something?,আপনি কি কিছু খাবেন?
Translate Bangla to English আমার একটা পুরানো কম্পিউটার আছে যেটার আমার আর কোনো প্রয়োজন নেই।,i have an old computer that i don't want anymore.
Translate English to Bangla: do you have a bicycle?,আপনার কি সাইকেল আছে?
Translate English to Bangla: they haven't done anything wrong.,ওনারা কোনো ভুল কিছু তো করেননি।
Translate English to Bangla: don't forget to put a stamp on your letter.,তোমার চিঠিতে ডাকটিকিট লাগাতে ভুলে যেও না।
Translate Bangla to Sylheti: ইহাতে,ইতায়
Translate Bangla to English আমি কাউকে মারিনি।,i didn't hit anybody.
Translate Bangla to English নিশ্চই!,of course!
Translate English to Bangla: hurry up.,তাড়াতাড়ি করুন।
Translate Bangla to English তোমরা চেঁচাচ্ছো কেন?,why are you yelling?
Translate Bangla to Sylheti: ধুতি পাঞ্জাবি,আংগাভুনি
Translate Sylheti to Bangla: চুকল,খোলস
Translate Sylheti to Bangla: তমেত,বদনাম
Translate Sylheti to Bangla: এরে,এইযে
Translate English to Bangla: tom doesn't want to do that.,টম ওটা করতে চায় না।
Translate Sylheti to Bangla: ফরে যে এখটা অফার দিছুইন আমাকে ইতা কইন,তারপর আমাকে যে একটা অফার দিয়েছেন এটা বলেন
Translate English to Bangla: we'll start doing that tomorrow.,আমরা আগামীকাল ঐ কাজ শুরু করব।
Translate Bangla to English তারা আপনাকে কী বলেছিল?,what did they tell you?
Translate Bangla to Sylheti: চারদিক,চাইর চন্নি
Translate Bangla to English আমি ফুটবল ভালোবাসি।,i love football.
Translate English to Bangla: i'm not your teacher.,আমি তোমার শিক্ষক নই।
Translate Sylheti to Bangla: আপাতনা,ভাগ্যহীন
Translate Bangla to Sylheti: ঠাট্টা,গিলফি
Translate Bangla to English আমাদের ট্রেন আটটা তিরিশে ছাড়বে।,our train leaves at eight-thirty.
Translate English to Bangla: i see something.,আমি কিছু একটা দেখতে পাচ্ছি।
Translate Bangla to English মন দিয়ে শুনবেন।,listen carefully.
Translate Bangla to English কেউ এসেছিলো।,someone came.
Translate English to Bangla: they became citizens of japan.,তারা জাপানের নাগরিক হয়েছেন।
Translate Bangla to Sylheti: সেহরির সময়,ফতাবালা
Translate Bangla to Sylheti: গরম হয়ে,উমাইয়া
Translate Sylheti to Bangla: গিরমানি,অহংকার
Translate Bangla to English যাওয়া যাক।,let's go.
Translate Sylheti to Bangla: দাই,ধাত্রী
Translate Bangla to Sylheti: তূলা,ডুওর
Translate Bangla to English আমাকে কী করতে হবে দয়া করে বলুন।,please tell me what i have to do.
Translate Bangla to English টম এই ক্লাবের সাবেক মালিক।,tom is the former owner of this club.
Translate Sylheti to Bangla: জিয়াফত,দাওয়াত
Translate Bangla to English আমার বাবা এখানে আছেন।,my father is here.
Translate Sylheti to Bangla: কিছুদিন  থাকিয়া আর ছিলোটি মানষের সাথে মিশিয়া আদব-কায়দা একটু হিকিয়া যাইবা,কিছুদিন থেকে আর সিলেটি মানুষের সাথে মিশে আদব-কায়দা একটু শিখে যাবেন
Translate Bangla to English দয়া এখানে অপেক্ষা করুন।,please wait here.
Translate English to Bangla: i don't know anything about japan.,আমি জাপানের ব্যাপারে কিছুই জানিনা।
Translate English to Bangla: tom sat down by the fire.,টম আগুনের কাছে বসল।
Translate Sylheti to Bangla: ওলাউ,এই রকম
Translate Bangla to English আমি খুশি যে আপনি সুস্থ হয়ে উঠেছেন।,i'm glad you've recovered.
Translate Bangla to Sylheti: উগ্র,উকা
Translate Bangla to English ধরেছি!,got it!
Translate Bangla to Sylheti: এদিকে,অমুখা
Translate English to Bangla: tom is going on a picnic tomorrow with mary.,টম আগামীকাল মেরির সাথে পিকনিকে যাচ্ছে।
Translate English to Bangla: tom is a good student.,টম ভালো শিক্ষার্থী।
Translate Sylheti to Bangla: এশির,নাবালক
Translate Bangla to Sylheti: স্রোতের বিপরীতে উঠা,উযযিয়া উঠা
Translate Bangla to English আপেলটি তিনি খেয়েছিলেন।,she ate the apple.
Translate Bangla to English টম বাস চালাতো।,tom used to drive a bus.
Translate English to Bangla: there's no mistake.,কোনো ভুল নেই।
Translate Bangla to Sylheti: ঝোপের,ছুবার
Translate English to Bangla: i'm a student.,আমি একজন ছাত্র।
Translate Bangla to English আগে এটা পড়ো।,read this first.
Translate Sylheti to Bangla: অরহি,"পেয়ারা,সবরী"
Translate Sylheti to Bangla: আ'রে,পরাজিত হয়
Translate Bangla to Sylheti: অন্যগুলো,আরগু
"Translate English to Bangla: if you had left a little earlier, you would have avoided the heavy traffic.",আপনি আরেকটু আগে রওনা দিলে এত ট্রাফিক এড়াতে পারতেন।
Translate Bangla to Sylheti: মুখোমুখি,আমনা শামনা
Translate Sylheti to Bangla: আগতনে,আগে থেকে
Translate Sylheti to Bangla: মুখা,দিকে
Translate Sylheti to Bangla: আনা দেখিয়া,না দেখে
Translate English to Bangla: i was unconscious.,আমি অজ্ঞান ছিলাম।
Translate Bangla to English দুর্ভাগ্যবশত গতকাল বৃষ্টি হয়েছিলো।,"unfortunately, it rained yesterday."
Translate English to Bangla: he taught me how to write.,উনি আমাকে লিখতে শিখিয়েছেন।
Translate English to Bangla: tom has decided he's going to come early.,টম সিদ্ধান্ত নিয়েছে যে সে তাড়াতাড়ি আসবে।
Translate Bangla to Sylheti: স্বাদ গ্রহণ করা,চাকা
Translate Bangla to Sylheti: কি হতে,কিঅনে
Translate Sylheti to Bangla: সিলেট বুকো দইরা রাখসি,সিলেটকে বুকে ধরে রেখেছি
"Translate Bangla to English সে যেখানে যেখানে যেত, তার কুকুর তার পেছনে পেছনে যেত।",his dog follows him wherever he goes.
Translate English to Bangla: do it again!,আবার করুন!
Translate Bangla to Sylheti: উগ্র,আপরুপ
Translate Bangla to Sylheti: মারা গেছেন,মারা খাইছইন
Translate Bangla to English অবশেষে আমি খেলনাটি কিনেছি।,i finally bought the toy.
Translate Bangla to Sylheti: ঔষধ,দাওয়াই
Translate Bangla to English শোন।,listen.
Translate Sylheti to Bangla: থইওড়ি,রেখে
Translate Bangla to English আমি আপনার শত্রু নই।,i'm not your enemy.
Translate English to Bangla: my jaw hurts.,আমার মারি ব্যাথা করছে।
Translate Bangla to Sylheti: বোবা (পুং),আবরা
Translate English to Bangla: i read those novels.,আমি সেই উপন্যাসগুলো পড়েছি।
Translate Bangla to English কুকুরটিকে অসুস্থ মনে হচ্ছে।,the dog looks sick.
Translate Bangla to English সে তাকে বিয়ে করেছে।,she married him.
Translate Sylheti to Bangla: ছবট,আবেশ
Translate English to Bangla: you should sleep.,তোমার ঘুমানো উচিৎ।
Translate English to Bangla: tom used to be scared of dogs.,টমের কুকুরের প্রতি ভয় ছিলো।
Translate Sylheti to Bangla: আউয়া যাওয়া,"বোকা, অবোধ"
Translate Bangla to Sylheti: অলস,আথাইল গারিয়া
Translate Bangla to Sylheti: নোয়াখালির ছেলে সিলেটি ছেলেকে পিটিয়ে ছাড়বে,নোয়াখালির ফুয়া সিলেটি ফুয়া রে পিটি লাইবো
Translate English to Bangla: what are you doing?,আপনি কী করছেন?
Translate English to Bangla: he's sleeping like a baby.,ও বাচ্চাদের মত ঘুমাচ্ছে।
Translate English to Bangla: there's no time for explanation.,ব্যাখ্যা করার সময় নেই।
Translate Sylheti to Bangla: গুলমুল,গোলাকার
Translate Bangla to Sylheti: নোংরা,গাইদর
Translate Bangla to English ভুলটা কোথায়?,where's the mistake?
Translate English to Bangla: noodles are usually made from wheat.,নুডলস সাধারণত ময়দা দিয়ে তৈরি হয়।
Translate Sylheti to Bangla: গুতাম,বোতাম
Translate Bangla to English এলাম!,goodbye!
Translate English to Bangla: i'm pretty tall.,আমি মোটামুটি লম্বা।
Translate English to Bangla: who cares?,কার কী এসে যায়?
Translate Sylheti to Bangla: মজা আমি খরলাম কই মজা তো আফনে খরছেন আমার লগে,মজা আমি করলাম কোথায় মজা তো আপনি করেছেন আমার সঙ্গে
Translate Sylheti to Bangla: চুটকি মারা,টক লাগা
Translate Bangla to Sylheti: ঝামেলাকারী,আপানজালি
Translate English to Bangla: last week she gave birth to a beautiful baby girl.,গত সপ্তাহে তিনি এক সুন্দর মেয়ে শিশুর জন্ম দিয়েছেন।
Translate English to Bangla: i have two nieces.,আমার দুটো ভাগ্নী আছে।
Translate Sylheti to Bangla: উপরাইছে,বাড়তি
Translate English to Bangla: i eagerly await your decision.,আমি অধীর আগ্রহে আপনার সিদ্ধান্তের জন্য অপেক্ষা করছি।
Translate English to Bangla: i exaggerated.,আমি বাড়িয়ে বললাম।
Translate English to Bangla: what's your favorite number?,আপনার প্রিয় সংখ্যা কী?
Translate English to Bangla: have fun.,মজা কর।
"Translate Bangla to English মানুষকে সুস্থ করে তোলা হয়, কিন্তু যন্ত্রকে মেরামত কতা হয়।","humans are healed, but machines are repaired."
Translate English to Bangla: of course.,অবশ্যই।
Translate Bangla to English এটা দারুণ একটা প্রশ্ন।,that's an interesting question.
Translate Sylheti to Bangla: পয়টিতে,প্রবেশ করতে
Translate Sylheti to Bangla: কুনদিন ভাংব ঘুম তোমার,কোনদিন ভাঙবে ঘুম তোমার
Translate Bangla to Sylheti: তাদেরকে শিখিয়োনা,হিতারে হিকাইওনা
Translate English to Bangla: i have three little girls.,আমার তিনটা ছোট বাচ্চা আছে।
Translate Sylheti to Bangla: গুরিয়ানা,ফরসা
Translate English to Bangla: i think tom is doing well.,আমার মনে হয় টম ভালোই আছে।
Translate English to Bangla: tell tom that i'm still in a meeting.,টমকে বলুন যে আমি এখনও মিটিংএ রয়েছি।
Translate Sylheti to Bangla: উরানো,কাপড় জরিয়ে দেওয়া
Translate Bangla to English আমি কিছু একটা দেখতে পেলাম।,i saw something.
Translate Bangla to English তোমাদের যা চাই তাই খাও।,eat what you want.
Translate English to Bangla: i feel hungry.,আমার খিদে পাচ্ছে।
"Translate Bangla to Sylheti: তবু তুমি পথ ভেঙে, রাজপথ রাঙিয়ে",তনাই ভাঙিয়া রাজফথ খাফাইয়া
Translate Sylheti to Bangla: আয়াযায়া,নির্ঘাত
Translate Sylheti to Bangla: অবেদ,"আশ্চর্য,অবাক"
Translate Sylheti to Bangla: ঝেলাজাত,স্ত্রীলোক
Translate English to Bangla: i received your letter the day before yesterday.,আমি গত পরশু আপনার চিঠি পেয়েছি।
Translate Bangla to English তুই কি দুধ খাচ্ছিস?,are you drinking milk?
Translate Bangla to English তিনি ফল ছাড়া অন্য কিছু খান না।,he doesn't eat anything other than fruit.
Translate Bangla to English তেল জলে ভাসে।,oil floats on water.
Translate English to Bangla: what does this sign mean?,এই চিহ্নটির মানে কী?
Translate Bangla to Sylheti: মোল্লার বেশে আমি,মোল্লার বেশ আমার
Translate Sylheti to Bangla: ডুগি,ডাটা
Translate Sylheti to Bangla: কাতুর কুতুর,কাতুকুতু
Translate Bangla to English আমি শেষ করেছিলাম।,i have finished.
Translate Bangla to Sylheti: আফসোস করে,পছতায়
Translate Sylheti to Bangla: তইসাকা,তেমন
Translate Bangla to Sylheti: নিশ্চিত,আয়া দায়া
Translate Bangla to English চিৎকার করা বন্ধ করুন।,stop yelling.
Translate Sylheti to Bangla: ছিকইন,মাটির সরার হাতলের অংশ
Translate Bangla to English আপনি উনার কাছে থেকে কোনো চিঠি পাওয়ার কতদিন হয়েছে?,how long has it been since you received a letter from him?
Translate Sylheti to Bangla: শুক্কুরবার,শুক্রবার
Translate Bangla to Sylheti: যে উকুন চামড়ায় হয়,চাম উকইন
Translate Bangla to Sylheti: আমার ময়নার জন্য গো,আমার ময়নার লাগি গো
Translate Bangla to English টম বলল যে মেরি তাকে তাড়াতাড়ি চলে যাওয়ার অনুমতি দিয়েছিল।,tom said mary had given him permission to leave early.
Translate Sylheti to Bangla: ডুলানি,সরানো
Translate Bangla to English ওই গোলাপ ফুলগুলো খুব সুন্দর।,those roses are very beautiful.
Translate Bangla to Sylheti: মাঁজা,মাইঞ্জানি
Translate Bangla to Sylheti: ওয়াক্ত,অকত
Translate English to Bangla: i fell in love with him.,আমি ওর প্রেমে পড়ে গেলাম।
Translate English to Bangla: would you like to come with us to the beach?,আপনি কি আমাদের সাথে সমুদ্র সৈকতে আসতে চান?
Translate Bangla to English টম ডাক্তার হয়েছে।,tom became a doctor.
Translate Bangla to Sylheti: মনটা আমার বাউল আব্দুল করিম হয়ে গেছে,মনটা আমার বাউল আব্দুল করিম ওইগেছে
Translate Bangla to English আমি ওই গল্পটা জানি।,i know that story.
Translate Bangla to Sylheti: বলে ফেলুন,কইলাউকা
Translate English to Bangla: tom will be thirty next year.,টম পরের বছর তিরিশে পা দেবে।
Translate Bangla to English ডাক্তারগণ জীবন বাঁচায়।,doctors save lives.
Translate Bangla to Sylheti: ফোঁটা ফোঁটা মেঘ ঝরে,ফুটা ফুটা মেঘ ঝরে
Translate Sylheti to Bangla: আমি ঢাকা থাকি আইছি,আমি ঢাকা থেকে আসছি
Translate Bangla to Sylheti: আমরা সবাই সিলেটি,আমরা হক্কল সিলেটি
Translate Sylheti to Bangla: মইল,ময়লা
Translate Sylheti to Bangla: গিয়াছ,গৃৃহস্থ
Translate Sylheti to Bangla: চিতরি,ভেজা কাপরের কালো দাগ
Translate Bangla to Sylheti: আম গাছের লাকড়ি,আমারো
Translate Bangla to English টম এত খুশি কখনো হয় নি।,tom has never been so happy.
Translate Bangla to English আমি বাড়িতে আছি।,i'm in the house.
Translate English to Bangla: i went on foot.,আমি পায়ে হেঁটে গেছিলাম।
Translate Sylheti to Bangla: ছুলে,আপোস
Translate Sylheti to Bangla: গেলগি্নি,চলে গেল নাকি
Translate Bangla to Sylheti: গরিবের মতো,গরিবানা
Translate Sylheti to Bangla: আসা,লাঠি
Translate Bangla to Sylheti: অকর্মা,অকামা
Translate Bangla to Sylheti: উনাকে,ইনরে
Translate Sylheti to Bangla: আগনি,আগুন
Translate English to Bangla: are we eating out tonight?,আমরা কি আজ বাইরে খাবো?
Translate Bangla to Sylheti: শিশুকন্যা,আবন
Translate Bangla to English এত মজা পাবো আশা করিনি।,i didn't expect to have so much fun.
Translate Bangla to Sylheti: পাতা,পতরো
Translate Bangla to Sylheti: পর্যন্ত,ইসতক
Translate Bangla to English আমি হাঁটতে পারিনি।,i couldn't walk.
Translate English to Bangla: i found his house easily.,আমি সহজেই তার বাড়ি খুজে পেয়েছিলাম।
Translate Bangla to Sylheti: জোনাকি পোকা,জুনিপুক
Translate Bangla to Sylheti: একগুয়ে,কানডা
Translate Bangla to English আমি ট্রেনেই থাকার সিদ্ধান্ত নিলাম।,i decided to stay on the train.
Translate Sylheti to Bangla: আমরা মুর্তার ফুল থুকাইতে থাকি,আমরা মুর্তার ফুল তুলতে থাকি
Translate English to Bangla: i agree completely.,আমি পুরোপুরি একমত।
Translate Bangla to Sylheti: পলিথিনের ব্যাগ,খিচা
Translate Bangla to English বুঝেছেন?,got it?
Translate English to Bangla: people like tom lie all the time.,টমের মতো লোকেরা সব সময় মিথ্যা বলে।
Translate Bangla to English আমি তোমাকে পরে খুঁজে নেব।,i'll find you later.
Translate Bangla to Sylheti: স্টার্ট হলে বেশি সময় লাগবেনা,স্টার্ট হই গেলে বেশি সময় লাগতনা
Translate English to Bangla: tom is a singer.,টম একজন গায়ক।
Translate Bangla to Sylheti: খাই খাই স্বভাব,খাম খাম
Translate Bangla to Sylheti: দাসদাসীর জন্য তৈরি বাড়ি,খানেবাড়ি
Translate Bangla to English আপনার সবজি খান।,eat your vegetables.
Translate Sylheti to Bangla: মাতু,বাতাবিলেবু
Translate Sylheti to Bangla: আনগরা,বোকা
Translate Sylheti to Bangla: খালি যাওয়া না যাওয়া-আওয়া?,শুধু যাবেন নাকি গিয়ে আবার আসবেন
Translate English to Bangla: your cow is eating our flowers.,তোমার গরু আমাদের ফুল খাচ্ছে।
Translate English to Bangla: i'll come back for you.,আমি তোর জন্য ফিরে আসবো।
Translate Bangla to Sylheti: মাছরাঙা,মাছুরাখাল
Translate Sylheti to Bangla: কলনদার,সূফী সাধন পদ্ধতি
Translate Bangla to Sylheti: চরিত্র,আমল
Translate Bangla to English আসুন এটা নিয়ে তর্ক করে সময় নষ্ট না করি।,let's not waste time arguing about it.
Translate Bangla to Sylheti: তামাক মলার গুড়,চিটরাব
Translate Sylheti to Bangla: অজানিবর,অচেনা
Translate Sylheti to Bangla: খয় পার্কর টাইম অইগেছে শেষ,বলে পার্কের টাইম শেষ হয়ে গেছে
Translate Sylheti to Bangla: কিরমি,কৃমি
Translate English to Bangla: please show me that.,আমাকে একটু ওইটা দেখাবেন।
Translate Sylheti to Bangla: চদু,বোকা
Translate Bangla to Sylheti: যেখানেই যাও আমাদের লোকজন কোনদিকে কম নয়,যেখানো যাও আমরার মানুষ কুনুবাইদি খম নায়
Translate Bangla to English সততাই সর্বোৎকৃষ্ট পন্থা।,honesty is the best policy.
Translate Bangla to English কত ঘন ঘন আপনি আপনার বন্ধুদের সাথে ভলিবল খেলতে সক্ষম?,how often are you able to play volleyball with your friends?
Translate Bangla to English উনি ফ্রান্সে বড়ো হয়েছেন।,she was raised in france.
Translate Bangla to English লড়াই করবেন না।,don't fight.
Translate English to Bangla: he was elected mayor again.,উনি আবার মেয়র নির্বাচিত হন।
Translate Sylheti to Bangla: ইনদাললা,মৃত ব্যক্তির নামে লোক খাওয়ানো
Translate Bangla to Sylheti: কাতুকুতু,খেতকুতি
Translate Bangla to English কেউই কথা বলছেন না।,nobody is speaking.
Translate Bangla to English টম বলল যে এটি শীঘ্রই হওয়ার সম্ভাবনা কম।,tom said that's not likely to happen anytime soon.
Translate Bangla to Sylheti: তুমি আর করো না,তুমি আর করিওনা
Translate English to Bangla: there's a cockroach under the bed.,খাটের নিচে একটা তেলাপোকা আছে।
Translate English to Bangla: is he a teacher?,ও কি শিক্ষক?
Translate Bangla to Sylheti: সামান্য,আদনা
Translate Sylheti to Bangla: মজাইল,পঁচানো
Translate Sylheti to Bangla: আউড়ামি,"বোকামি,বেয়াড়াপনা"
Translate English to Bangla: call me tomorrow.,আমাকে আগামীকাল ফোন করবে।
Translate Bangla to Sylheti: প্রতিবেশী,আরি
Translate Sylheti to Bangla: নাকারিত,নাকে
Translate Sylheti to Bangla: সিরিয়াস কতা কউক্কা,সিরিয়াস কথা বলো
Translate Sylheti to Bangla: একটা গাছ থাকি একটা পাতা পরে,একটি গাছ থেকে একটি পাতা পড়ে
Translate Sylheti to Bangla: মছুম,মৌসুম
Translate Bangla to English টম মেরিকে বলেছিল যে তাকে এটি করতেই হবে।,tom told mary that he had to do that.
Translate Bangla to English আমার আর তোমাকে ভালো লাগে না।,i don't like you anymore.
Translate English to Bangla: tom most probably forgot.,টম হয়তো ভুলে গেছে।
Translate Bangla to English ইসলামাবাদ হলো পাকিস্তানের রাজধানী।,islamabad is the capital of pakistan.
Translate Bangla to Sylheti: অভিমা্ন,আগরাই
Translate Sylheti to Bangla: চেলাকোটি,পাখি বিশেষ
Translate English to Bangla: we met a few weeks ago.,আমরা কয়েক সপ্তাহ আগে দেখা করেছিলাম।
Translate Bangla to English আমি এখনই ঘরটা ছেড়ে দিতে চাই।,i'd like to check out right now.
Translate Bangla to English টম ওকে দেখলো।,tom saw her.
Translate Bangla to Sylheti: এখন,অখন
Translate Sylheti to Bangla: গুরি গাইয়া,খেদোক্তি করা
Translate English to Bangla: i do understand.,আমি বুঝি।
Translate Sylheti to Bangla: তাইজ্জুব,অবাক
Translate Sylheti to Bangla: আতলা খাটা,কৈ মাছের তরকারি
Translate Sylheti to Bangla: তনু,দেহ
Translate Bangla to Sylheti: আসার সময় আব্বা-আম্মার পাড়া-প্রতিবেশীরে বলে আসবেন,আইবার সময় আব্বা-আম্মার পাড়া-প্রতিবেশীরে কইয়া আইতা
Translate Bangla to English আমরা এটা পরেও শেষ করতে পারি।,we can finish it later.
Translate Bangla to English সে একটি হাসপাতালে কাজ করতে চায়।,he wants to work in a hospital.
Translate Sylheti to Bangla: চকর,প্রজাপতি
Translate Bangla to English তোর গাড়ি আছে?,do you have a car?
Translate English to Bangla: i will go.,আমি যাবো।
Translate Sylheti to Bangla: খাবাউক,খাওয়াক
Translate Bangla to Sylheti: আপনি কোথায় যাবেন,আপনে কই যাইতা
Translate English to Bangla: she's eating fruit.,ও ফল খাচ্ছে।
Translate English to Bangla: french is my native language.,ফরাসি আমার মাতৃভাষা।
Translate Bangla to Sylheti: ছেলে,পুয়া
Translate Bangla to English আমার বাবা এখানে।,my father is here.
Translate Bangla to Sylheti: গায়েব,গার
"Translate Bangla to Sylheti: জার্মানির ফুল (সম্ভবত কোনো খাদ্যদ্রব্য) মানুষ খায়, তাদের কি ঘরে ভাত নেই?",জারমুনির ফুল মাইনষে খাইতা ঘরো কি নাই ভাত?
Translate Bangla to Sylheti: সন্ধ্যা,হাইঞ্জাবালা
Translate English to Bangla: i knew tom was from boston.,আমি জানতাম টম বোস্টন থেকে এসেছে।
Translate Bangla to English আমরা দুজনেই জানি যে এটা ঠিক নয়।,we both know this isn't right.
Translate Bangla to English অনুগ্রহ করে আপনার পাসপোর্টটি দেখাবেন।,"show me your passport, please."
Translate Bangla to English সে আমাকে তার নাম বলেনি।,she didn't tell me her name.
Translate Bangla to English এই দেশে তেলের অভাব।,oil is scarce in this country.
Translate Bangla to English টম যখন শুনলো যে মেরি আরে জন বিয়ে করেছে তখন তাকে দেখে বেশ অবাক মনে হয়েছিলো।,tom seemed quite surprised when he heard that mary and john had gotten married.
Translate Sylheti to Bangla: খবরিয়া,দূত
Translate Sylheti to Bangla: আফরকে,অগোচরে
Translate Bangla to Sylheti: ভেড়া,মেড়ামেড়ি
Translate Bangla to English আমি আমার আসন সংরক্ষণটি বাতিল করতে চাই।,i'd like to cancel my reservation.
Translate Bangla to Sylheti: কোনকিছুর সামান্য অংশ,চটকা
Translate Bangla to English শেষবার আপনি কখন বিস্কুট খেয়েছিলেন?,when was the last time you ate a cookie?
Translate Sylheti to Bangla: মাঞ্চাতোর,বিবেকের
Translate English to Bangla: tom saw you.,টম আপনাদের দেখলো।
Translate Sylheti to Bangla: গাইট-শুইট,পোটলা-পুটলি
Translate Bangla to Sylheti: অলংকার,খুটিয়া
Translate Bangla to English টম কার্পেটের উপর নোংরা পায়ের ছাপ দেখতে পেল।,tom saw dirty footprints on the white carpet.
Translate Bangla to English আমরা ভেতরে।,we're inside.
Translate Bangla to Sylheti: স্মরণ,ইয়াদ
Translate English to Bangla: see you tomorrow.,আগামীকাল দেখা হবে।
Translate Sylheti to Bangla: চানদর ঠারে,অনুমানে
Translate English to Bangla: tom didn't show me anything.,টম আমাকে কিছুই দেখায়নি।
Translate English to Bangla: hold your tongue!,মুখ সামলে কথা বলো!
Translate English to Bangla: i don't want you to forget about me.,আমি চাই না তুমি আমাকে ভুলে যাও।
Translate Bangla to Sylheti: এক,একদ
Translate Bangla to English ওই শব্দটার মানে কী?,what does that word mean?
Translate Sylheti to Bangla: জাইন যে,যাবেন
Translate Sylheti to Bangla: গিরো,গিঁট
Translate Bangla to Sylheti: তারপর,তেগিয়া
Translate Sylheti to Bangla: আকলনামা,আক্কেল সেলামি
Translate English to Bangla: finish this as soon as possible.,যত তাড়াতাড়ি সম্ভব এটা শেষ কর।
Translate Sylheti to Bangla: তাগড়া,জবরদস্ত
Translate Sylheti to Bangla: আনছলু,এনেছিলাম
Translate Bangla to Sylheti: অবসর,আবর
Translate English to Bangla: i'd like you to call me tom.,আমার ইচ্ছা যে তুমি টমকে ডাকো।
Translate English to Bangla: plants need sunshine and water.,উদ্ভিদের রোদ এবং জল প্রয়োজন।
Translate Sylheti to Bangla: চাইরোবায়,চারদিকে
Translate Sylheti to Bangla: উযাই,উজানগামী মাছ
Translate Bangla to Sylheti: যা মিলে না,আমিলা
Translate Sylheti to Bangla: মাইঞ্জানি,মাঁজা
Translate Bangla to Sylheti: হবে না,অইতো নায়
Translate Bangla to English গ্রামটতে বিদ্যুৎ নেই।,the village has no electricity.
Translate Sylheti to Bangla: আতাল বিতাল,অশান্তিময় কাজ
Translate Bangla to English আমি ওনার আমন্ত্রণ গ্রহণ করলাম।,i accepted his invitation.
Translate Sylheti to Bangla: গপিয়ালা,গল্পকার
Translate Bangla to English আমরা আগামীকাল ঐ কাজ শুরু করব।,we'll start doing that tomorrow.
Translate English to Bangla: there is not much doubt about the cause of the fire.,আগুন লাগার কারণ নিয়ে খুব একটা সন্দেহ নেই।
Translate Bangla to Sylheti: হুঁশ,উশ
Translate Sylheti to Bangla: অয় অয়,"হ্যাঁ,হ্যাঁ"
Translate Sylheti to Bangla: ইফিরা,এইবার
Translate Bangla to English টমের আমাকে চায়।,tom wants me.
Translate English to Bangla: i don't want to waste time on this problem.,আমি এই সমস্যায় সময় নষ্ট করতে চাই না।
Translate English to Bangla: where is his house?,তার বাড়ি কোথায়?
Translate Bangla to English টম দৌড়ে উপরে গেলো।,tom rushed upstairs.
Translate Bangla to English আমি একটুও ক্লান্ত নই।,i'm not a bit tired.
Translate Bangla to Sylheti: দুশ্চিন্তা,আন্দেশা
Translate Bangla to Sylheti: তো নেন না কেন অসুবিধা কী,তে লইননা কেনে অশুবিধা কিতা
Translate Bangla to English টম চেঁচাতে আরম্ভ করলো।,tom started to scream.
Translate Bangla to English আমার মনে হয় না যে টম এখানে ছিল।,i don't think that tom was here.
Translate English to Bangla: pardon me?,কী বললে?
Translate Bangla to English ফরাসি কঠিন নয়।,french isn't difficult.
Translate English to Bangla: fire!,আগুন!
Translate Bangla to English অবিশ্বাস্য!,unbelievable!
Translate Bangla to English আমি এতেই অভ্যস্ত।,it's what i'm used to.
Translate English to Bangla: you can stay here as long as you like.,তুমি এখানে যতক্ষণ ইচ্ছে থাকতে পারো।
Translate English to Bangla: tom has been working here since 2013.,টম এখানে ২০১৩ থেকে কাজ করছে।
Translate Sylheti to Bangla: মাদানিবালা,মধ্যাহ্নবেলা
Translate Bangla to English টম এমন জিনিস দেখতে পারে যা মেরি পারে না।,tom can see things that mary can't.
Translate Bangla to English আবার পরে জিজ্ঞাসা কোরো।,ask again later.
Translate Bangla to English সবাই বলে যে এই পুরানো বাড়িটা ভুতুড়ে।,they say this old house is haunted.
Translate English to Bangla: don't go in the kitchen.,রান্নাঘরে যাবেন না।
Translate Bangla to Sylheti: চুনোপুটিঁ,টিকাউলি
Translate Sylheti to Bangla: নাইতে বেলা,গোসলের সময়ে
"Translate Bangla to Sylheti: আমিন, আমলা",আইমন
Translate English to Bangla: my hip hurts.,আমার কোমর ব্যাথা করছে।
Translate Bangla to English তুমি কি ক্ষুধার্ত?,are you hungry?
Translate Sylheti to Bangla: খেছিছে,মেরেছে
Translate English to Bangla: the police chief resigned.,পুলিশ প্রধান পদত্যাগ করেছেন।
Translate Bangla to English আপনার নাম কি?,"what's your name, please?"
Translate Bangla to English মনে হয় আজকাল সব সময় ব্যস্ত থাকি।,i seem to always be busy nowadays.
Translate English to Bangla: tom's homeless.,টম গৃহহীন।
Translate Bangla to English ভবিষ্যতে অনেক শ্রমিক রোবট দ্বারা প্রতিস্থাপিত হবে।,"in the future, many workers will be replaced by robots."
Translate Bangla to English টম এবং মেরি একে অপরকে এড়িয়ে দিন কাটিয়েছেন।,tom and mary spent the day avoiding each other.
"Translate English to Bangla: tom sat alone in his room, waiting by the phone.","টম ঘরে একলা বসেছিলো, ফোনের পাশে অপেক্ষা করছিলো।"
Translate Bangla to Sylheti: হাসাহাসি,এরানো
Translate Bangla to Sylheti: ঢিল ছোড়া,ইটানি
Translate Bangla to English টম প্রচুর বই পড়ে।,tom reads lots of books.
Translate Sylheti to Bangla: দিওনা মনো ছুরি,মনে কষ্ট দিও না।
Translate English to Bangla: a fish can swim.,মাছ সাঁতার পারে।
Translate Bangla to Sylheti: কলা গাছের ভেতরের সরু অংশ,আইলকা
Translate Bangla to Sylheti: ধীরে সুস্থে,গইসই
