sylheti,bangla
আইইয়ককা হোকলোর দাওয়াত হুটকির চাটনি দিয়া ভাত কাইবা,আইসো সবাইকে দাওয়াত শুটকির চাটনি দিয়ে ভাত খাবা
এরপরে হকলোরে হাতকরা দিয়া আর টেংড়া বর্তা বানাইয়া কায়াইমুনে,তারপর সবাইকে সাতকরা আর টেংড়ার ভর্তা বানিয়ে খাওয়াব
মরা হক্কল সিলেটি,আমরা সবাই সিলেটি
অয় অয় ইতা সিলেটি মাত,হ্যাঁ হ্যাঁ এটি সিলেটি ভাষা
হাগ এর কচু খাওয়ামু,কী খবর
বালা আছুইননি আফনে,আপনি ভালো আছেন তো
আফনে যদি বর্তা খাইন তে তো ফাগল হই যাইবাইন,"আপনি যদি ভর্তা খান, তবে পাগল হয়ে যাবেন"
"অত মজার ইতা চাটনি,বুইচ্ছইননি","এত মজার এই চাটনি, বুঝেছেন"
আর যাইত মন খইতোনা,তখন যেতে মন চাইবে না
আইলে অত দিওয়ানা হইবাইন,এলে খুবই মুগ্ধ হয়ে যাবেন
আমরার ইনো হুটখির তরকারি কত মজা লাগে,আমাদের এখানে শুটকির তরকারি কত মজার
এখবার যদি খাইন ফেট ভরি ভাত খাইতো ফারবা,"একবার যদি খাও, পেট ভরে ভাত খেতে বাধ্য হবে"
আরো হাতখরার আচার হাতখরার তরকারি কতোতা আছে,"এছাড়া সাতখরার আচার, তরকারি কত কিছু আছে"
"হুটখির বরতা,হাগ,খসু আরো বিবিন্ন জাতের জিনিস আছে","শুটকির ভর্তা, শাক, কচু এবং আরও বিভিন্ন ধরনের খাবার আছে"
"বহুত জিনিস আছে নামও জানিনা,বাক্কা মজার জিনিস","অনেক কিছু আছে, নামও জানি না, তবে খুবই মজাদার"
দুলা ভাই আফার লগে বেশি বেশি করি ইতা ভিডিও বানাইয়ো,দুলা ভাই আপার সঙ্গে বেশি বেশি এরকম ভিডিও বানাও
আজকে আমি তাইনরে সিলেটি বাষা ইকাইমু,আজকে আমি তাকে সিলেটি ভাষা শেখাব
আমি তাইনোর দার থাকি ইকমু,আমি তার কাছে থেকে শেখব
আও হউর বারি থাকি ফাকাইয়া আই,"এসো, শ্বশুর বাড়ি থেকে ঘুরে আসি"
আমার হরিয়ে যে বালা রানদোইন,আমার শাশুড়ি খুব ভালো রান্না করে
আমার সিলেট বউত হালাহালি আছে,আমার সিলেটে অনেক শালাশালি আছে
কউয়ার লগে লগেই ইকিলাইরাই,বলার সাথে সাথেই শিখে যাবে
আমি সিলেটি খইননা,আমি সিলেটি কনে
দামান বেটা খই,জামাই বাবা কোথায়
ফুয়া ইগুয়ে ফুরি ওগুরে যে ফছন খরে,ছেলেটা মেয়েটাকে অনেক পছন্দ করে
আমার এগু বাই এগু বইন,"আমার একজন ভাই, একজন বোন"
তাম্মি আমার বইন,তাম্মি আমার বোন
মিনহাজ আমার বাই,মিনহাজ আমার ভাই
আফনেরা বিডিও দেউক্কা,আপনারা ভিডিও দেখুন
তাইনে হাউক্কা,তিনি খাক
কিতা মনো খরস,কী ভাবছেন
আমি বাত খাইলিছি,আমি ভাত খেয়েছি
আজকে আমি লন্ডন যাইমুগি,আজ আমি লন্ডন যাব
বাত খাইবায়নি,ভাত খাবেন না
লেখা ফরার খবর কিতা,পড়াশোনার খবর কী
বাড়ির হক্ষল ভালানি,বাড়ির সবাই ভালো তো
খামো লাগবো,কাজে লাগবে
হক্ষল বালা থাইকুইন,সবাই ভালো থাকুন
ইতা কোন জাতর মাত মাতস বেটা,"এটা কোন ধরনের কথা বলছ, ছেলে"
কইতে পারবেনী মানুষটা কে,বলতে পারবেন লোকটি কে
ইয়াহ আল্লাহ জামাই কারে খইন,আল্লাহ! জামাই কাকে বলছেন
আমিতো আফনের ফুরিরে বিয়া খরছিনা,আমি তো আপনার মেয়েকে বিয়ে করিনি
জামাই অইলাম কোহান থেকে তে,জামাই হলাম কোথা থেকে
ইতা কিতা কইলাইন,এটা কী বললেন
লন্ডন থেইকা বাংলাদেশে আইছি কুনু অসুবিধা অইছেনা,"লন্ডন থেকে বাংলাদেশে এসেছি, কোনো অসুবিধা হয়নি"
আর সিলেট থেইকা ডাহা তে আইতে অসুবিধা অইবোনি,আর সিলেট থেকে ঢাকা আসতেও কোনো অসুবিধা হবে না
আমরা সিলেট উপশহরের ফুয়া,আমরা সিলেট উপশহরের ছেলে
আমার ছোট ফুয়া,আমার ছোট ছেলে
তুমি আছ জানলে তো এর চেয়ে বড় গিফট আনলাম অইলে,তুমি আছো জানলে তো এর চেয়ে বড় উপহার আনতাম
বাবাজি অ আমার ফুরি,বাবা ও আমার মেয়ে
কুনু কষ্ট অইছেনা,কোনো কষ্ট হয়নি
মন করুইন জতখানি কষ্ট অইছে সবতা দুরো অইয়া গেছে,"মনে করেন, যতটুকু কষ্ট ছিল, সব দূর হয়ে গেছে"
অনো বইয়া গল্প করবানি,এখানে বসে গল্প করবে নাকি
বিত্রে চলো,ভিতরে চলো
বেছারা কতো দূর থেইকা মেহনত করি আইছইন,বেচারা কত দূর থেকে পরিশ্রম করে এসেছে
আফনে কিতা কইছইন আমি কুইচ্চো হুনছিনা,"আপনি কী বলেছিলেন, আমি কিছু শুনিনি"
অইছে কিতা জানোইননি,হয়েছে কী জানেন
সিলেটি ফুয়া রে নিয়া গান বাইর করছে,সিলেটি ছেলেকে নিয়ে গান বের করেছে
গান টা হুনলাম আরকি কুব বালা লাগলো,গানটা শুনলাম আর খুব ভালো লাগলো
লন্ডনের টাইম আর বাংলাদেশের টাইম ক্ল্যাশ খায়ালাইছে,লন্ডনের সময় আর বাংলাদেশের সময়ের ক্ল্যাশ হয়েছে
আই ফীল লাইক দেট আমি অহন লন্ডন ব্রীজ এর উফরে আছি,আই ফীল লাইক দেট আমি এখন লন্ডন ব্রিজের উপর দাঁড়িয়ে আছি
আমি অহন জগিং এর মদ্দে আছলাম,আমি তখন দৌড়ানোর মধ্যে ছিলাম
এক্সেক্টলি আফনে যেইটা কইছইন,ঠিক যেটা আপনি বললেন
না না আর কিয়ের লন্ডন,না না আর কেন লন্ডন
লন্ডন আর যাইতামনা আমি,লন্ডনে আর যাব না আমি
লন্ডন আমার বিতৃষ্ণা আইচ্চে,লন্ডন আমার বিরক্তি ধরিয়েছে
আমি বিয়ার ফরে এদেশে থাইকমু,আমি বিয়ের পরে এ দেশেই থাকব
আমার বাপ দাদার যে সয়সম্পত্তি আছেনানি সিলেট,আমার বাবা-দাদার যে জমি-সম্পত্তি আছে সিলেটে
হেনো গিয়া আমি খেত খামার করমু,সেখানে গিয়ে চাষবাস করব
আমি ধান চাষ করমু লাল শাগ লাগাইমু,"আমি ধান চাষ করব, লাল শাক লাগাব"
আমার খেত অইবো,আমার জমি থাকবে
আমার খেতের ফসল নিজে খাইমু,আমার জমির ফসল নিজে খাব
বাংলাদেশে সেটেল হই যামু,বাংলাদেশেই সেটেল হয়ে যাব
আফনে মাথা ঠান্ডা করুক্কা,আপনি মাথা ঠান্ডা রাখুন
আফনার ফ্রব্লেম কুন জাগাত,আপনার সমস্যা কোথায়
আমার দেশে থাকা লইয়া সমইস্যা,আমার দেশে থাকা নিয়ে সমস্যা
নাকি লন্ডন না যাউয়া লইয়া সমইস্যা,নাকি লন্ডন না যাওয়া নিয়ে সমস্যা
ফান করছি আফনার লগে,আপনার সঙ্গে মজা করছি
আমি এখটা লন্ডনি ফোয়া,আমি একজন লন্ডনের ছেলে
কিল্লিগা আমি এদেশে থাইক্মু,তাহলে আমি এই দেশেই থাকব কেনো
খেত খামার দিয়া আমি খিতা খরমু,খেত খামার দিয়ে আমি কি করবো
জাস্ট মজা করছি আফনার লগে,আমি শুধু আপনার সঙ্গে মজা করছি
আমি বুইজ্জালাইছি আফনার এখটু মাথা গরম আছে,আমি বুঝতে পেরেছি আপনার মাথা একটু গরম আছে
হিদল হুটকি দি ভাত মারি দেই,সিদল শুটকি দিয়ে ভাত খাই
হিদল চিনছুইন্নানি,সিদল কি চেনেন না
ছোট ছোট মাছ মাটির নিচে পচাইয়া হুটকি বানায়,ছোট ছোট মাছ মাটির নিচে পচিয়ে শুটকি বানানো হয়
হুটকি দি বর্তা বানাইয়া ভাত মারি দেই,শুটকি দিয়ে ভর্তা বানিয়ে ভাত খাই
লাঞ্চে টেংরা মাছের ঝোল দি ভাত মারি দেই,লাঞ্চে টেংরা মাছের ঝোল দিয়ে ভাত খাই
ভরফেট ভাত মারি ঘুমাই যাই,পেট ভরে ভাত খেয়ে ঘুমিয়ে পড়ি
লন্ডনে যিতা খাই ইতা আফনে খাইতে ফারতানা,লন্ডনে গিয়ে যেটা খাই সেটা আপনি খেতে পারবেন না
খালি ফনির খায়,শুধু পনির খায়
হারাদিন ফনির খাইলে আফনের ফেড খারাপ অইবো,সারাদিন পনির খেলে আপনার পেট খারাপ হবে
আফনের সমইস্যা অই যাইবো,আপনার সমস্যা হয়ে যাবে
এখশো জনের বাত আমি রান্ধি,আমি একশো জনের খাবার রান্না করি
বাত ডাইল হগলতা আমি নিজে রান্ধি,ভাত ডাল সবই আমি নিজে রান্না করি
রান্ধিয়া ফ্যাকেট করিয়া বিভিন্ন অফিসে অফিসে সাফলাই দেই,রান্না করে প্যাকেট বানিয়ে বিভিন্ন অফিসে সরবরাহ করি
আমার এখশো খাস্টমার আছে,আমার একশো জন কাস্টমার আছে
আমি তারারে অফিসে গিয়া সাফলাই দেই,আমি তাদের অফিসে গিয়ে খাবার সাপ্লাই করি
আমি লন্ডনে এখটা মাল্টিনেশনাল কম্পানির মেনেজার,আমি লন্ডনে একটি মাল্টিন্যাশনাল কোম্পানির ম্যানেজার
আমার আন্ডারে এখশো ফুয়াফুরি খাম করে,আমার আন্ডারে একশো জন ছেলেমেয়ে কাজ করে
আমার হুকুম হুনে,তারা আমার নির্দেশ মেনে চলে
বিকালেও ভাত খাইমু,বিকেলেও ভাত খাব
বাংগালি ফেট মানেই ভাত,বাঙালির পেট মানেই ভাত
ভাতের উফরে কুচ্ছু নাই,ভাতের চেয়ে ভালো কিছু নেই
এদেশের চাইল ফ্লেনে উইঠা যা লন্ডন,এদেশের চাল প্লেনে উঠে লন্ডন যায়
আও চাইট্টা ভাত খাই,"এসো, একটু ভাত খাই"
আমার বইনের ফুতে সবার লাগি কতোতা লইয়া আইছে লন্ডন থাকি,আমার বোনের ছেলে সবার জন্য কত কিছু নিয়ে এসেছে লন্ডন থেকে
তুমি লিস্টের মদ্ধে আছিলানা,তুমি লিস্টের মধ্যে ছিলে না
বউ দেখি কিতা করা যা তোমার লাগি,বসো দেখি কি করা যায় তোমার জন্য
হালু এটা আফনার লাগি,খালু এটা আপনার জন্য
আফনে দুল ফছন্দ করুইন,আপনি দুল পছন্দ করেন
আফনারে মানাইবো,আপনাকে মানাবে
আমার খুব ফছন লাগছে,আমার খুব পছন্দ হয়েছে
সবার সামনে খইতামনা,সবার সামনে বলবো না
দেখছুইননি কারবার কিতা কয়,দেখেছেন ব্যাপারটা কী যে বলে
আমি কেনে বুলতাম,আমি কেন বলবো
আসলেও তো লিস্টে আছলানা,আসলেই তো লিস্টে ছিলে না
আমার তো মাথাত আছিননা,আমার তো মাথায় ছিল না
তোমার লাইগা কিছু তো আইনছি,তোমার জন্য কিছু তো এনেছি
খয়টা বাজে,কয়টা বাজে
আমার শইলে জানি কিতা খরে,আমার শরীর কেমন জানি করছে
তর বইনরে বিয়া খরছিনি আমি অখনো,তোর বোনকে  বিয়ে করেছি নাকি আমি এখনো
অতোখান ছোট হইয়া তুই এত বিশাল চিন্তা করছ কেনে,এত ছোট হয়ে তুমি এত বড় চিন্তা করছ কেন
কিতা বেফার তারে আনলা কেনে,"কী ব্যাপার, তাকে নিয়ে এলে কেন"
এইটে উঠি গেসো,এইটে উঠে গেসো
ধর্ম সংকটে ফালাইছস হালা আমারে,আমাকে ধর্মসংকটে ফেলে দিয়েছ শালা
হই তরে লন্ডন নিমু আমি,"ঠিক আছে, তোমাকে লন্ডন নিয়ে যাব আমি"
তোমরা অখন এইটে ফড়ো,তোমরা এখন এইটে পড়ো
দুইদিন ফর মেট্রিক দিবায়,দুইদিন পর মেট্রিক পরিক্ষা দিবা
মেট্রিকর আগে তোমরা কেউ কাউরে লাভার কইতো ফারতানা,মেট্রিকের আগে তোমরা কেউ কাউকে প্রেমিক বা প্রেমিকা বলতে পারবে না
খালি নোট এর আদান প্রদান হবে মনো তাকবে,শুধু নোটের আদান প্রদান হবে মনে থাকবে?
ইতা খইলে অইবইনি শফথ খরা লাগব,এটা বললে হবে না শপথ নিতে হবে
আমি শফথ খরিতেছি যে আমরা অনলি ফ্রেন্ড,আমি শপথ করছি যে আমরা শুধুই বন্ধু
মজা আমি খরলাম কই মজা তো আফনে খরছেন আমার লগে,মজা আমি করলাম কোথায় মজা তো আপনি করেছেন আমার সঙ্গে
আফনারার কুন বইনরে বিয়া খরছি আমি,আপনাদের কোন বোনকে আমি বিয়ে করেছি
কারে দুলাভাই ডাখলা আফনেরা,আপনারা কাকে দুলাভাই বললেন
বাবারে বাবা কি জমানা আইলইরে বাবা,"বাবা রে বাবা, কী যুগটাই না এলো"
এমনভাবে আমার কাছে ফাসফোরট আর আইয়েল্টস এর কাগজ জমা দিলায়,এমনভাবে আমার কাছে পাসপোর্ট আর আইএলটিএসের কাগজ জমা দিয়েছো
মনো হইতাছে আমি লন্ডনের এম্বাসি,মনে হচ্ছে আমি লন্ডনের এম্বাসি
হই ফারি ফারি,হ্যা পারি পারি
ফারিনা কিল্লা অবশ্য ফারমু,পারবোনা কেনো অবশ্যই পারবো
আমার ফ্রেন্ড আছে দুইটা তারারে বিয়া করাই দেই তারার লগে,"আমার দুইজন বন্ধু আছে, তাদের বিয়ে করিয়ে দেই তাদের সঙ্গে"
লন্ডন জাউয়ার ফ্রসেস ত এখটাঅই,লন্ডন যাওয়ার প্রসেস তো একটাই
আমি ফ্রসেস এর কতা বইলছি,আমি প্রসেসের কথা বলছি
অত্ত সোজা না বাহ,এটা এত সহজ নয় ভাই
আফনে কিতা মনে খরলা,আপনি কী ভেবেছিলেন
আফনে নোয়াখালির অদ্ধেক বেছি লাইলা,আপনি নোয়াখালির অর্ধেক বেচে দিয়েছেন
নোয়াখালির অদ্ধেক বেচি দিলে আফনেরে লন্ডনের ভিসা দিবনি,নোয়াখালির অর্ধেক বেচে দিলেই আপনাকে লন্ডনের ভিসা দেওয়া হবে নাকি
সাত বছর বলে ফ্রেম আপনার লগে কিতা কয়,সাত বছর ধরে নাকি প্রেম আপনার সঙ্গে কী বলছে
এ বেডি দি সিখার অ করেনা আফনার লগে বলে ফ্রেম আছিল,এ মেয়ে তো স্বীকার ই করেনা আপনার সাথে নাকি প্রেম ছিলো
এখটা ঝাটা যে দিছুইন এইটা কি আমার লাইগা দিছুইন,একটা ঝাড়ি দিয়েছেন যে এটা কি আমার জন্য দিয়েছেন
আমার এইটা বিশ্বাস করতে খষ্ট অইতেছে,আমার এটা বিশ্বাস করতে কষ্ট হচ্ছে
আমারে কিছু কইলায়নি আফনে,আমাকে কিছু বললেন নাকি আপনি
এইডা কানের মদ্ধে লাগাইল আছিলো বুজ্জিনা,এটা কানে লাগানো ছিল বুঝতে পারিনি
আমার চার দোখানে বইয়া চা খায়লা,আমার চায়ের দোকানে বসে চা খেয়েছেন
আফনে ফাগলা গারদ থেইকা ছাড়া ফাইলা খবে,আপনি পাগলা গারদ থেকে ছাড়া পেয়েছেন কবে
আমার হবু বউ এর বাড়িত আমি খিতা করি আফনারে কইতাম কেনে,আমার হবু বউ এর বাড়িতে আমি কি করি সেটা আমি আপনাকে বলবো কেনো
ইতো দেখা যায় আমার বাফ মার লাখান আচরন খরেন আফনে,এটা তো দেখা যাচ্ছে আপনি আমার বাবা মায়ের মতো আচরণ করছেন
আমি খারে বিয়া করমু খারে খরতামনা ইতা কিতা আফনে ঠিক কইরা দিবাইন নাকিতা,আমি কাকে বিয়ে করব আর কাকে করব না এটা কি আপনি ঠিক করে দেবেন নাকি
নোয়াখালির ফুয়া সিলেটি ফুয়া রে পিটি লাইবো,নোয়াখালির ছেলে সিলেটি ছেলেকে পিটিয়ে ছাড়বে
চান্দো কি খালি নোয়াখালির ফোয়া ই পাওন যায়নি,চাঁদে কি শুধু নোয়াখালির ছেলেদেরই পাওয়া যায় নাকি
আমি ইকানো তুমি খই,"আমি এখানে, তুমি কোথায়"
মারিয়া তারে ফাডাই লাইছি,মেরে তাকে শেষ করে দিয়েছি
তুমিতো আমার মামুর ঘরের ফুরি তুমি আবদার কইরলেই হইবো,তুমি তো আমার মামার বাড়ির মেয়ে তুমি আবদার করলেই হবে
আমি লন্ডন বউত এক্সিডন্ট খরছি আমার ইন্ডিশন দরখার নাই,আমি লন্ডনে অনেকবার এক্সিডেন্ট করেছি আমার ইঞ্জেকশন এর দরকার নেই
মানুষ আফনারে নিয়া নানান খথা খইবো,মানুষ আপনাকে নিয়ে নানা কথা বলবে
দেহা গেলো আফনের বয়ফ্রেন্ড কুনুতা কইলো আর আফনে বিগড়ায় গেলেন,দেখা গেল আপনার প্রেমিক কিছু বলল আর আপনি বিগড়ে গেলেন
ফারিয়ার আব্বা কইগো তুমি রুশো আইয়ো,ফারিয়ার আব্বা কোথায় তুমি জলদি আসো
মাতা তো বাঙ্গি লাইছে পিটিয়া,মাথা তো ভেংগে দিয়েছে মেরে
মাতা খাজ করেনা বুলি গেছি,মাথা ঠিকমতো কাজ করছে না ভুলে গেছি
কিয়ার লাই ঘটছে ঘটনাডা কউছেন,কেন ঘটেছে ঘটনাটা বলুনতো
তে লইননা কেনে অশুবিধা কিতা,তো নেন না কেন অসুবিধা কী
তোমার ইকানো যেটা ফছন লাগে তুমি লইলাউ,এখানে যেটা তোমার পছন্দ সেটাই নাও
তুমি অইলা গিয়া আমার এখমাত্র ফুরির এখমাত্র জামাই,তুমি হলে আমার একমাত্র মেয়ের একমাত্র জামাই
ফয়সার লাইগা কুনু টেনশান খরিওনা,টাকার জন্য কোনো টেনশন করো না
আরে আফনে কেনে আমারে এই কতা কইলাইন,আরে আপনি কেন আমাকে এই কথা বললেন
শফিং এ লইয়া আইছি আমি যিতা লাগে আফনে লইন,শপিংয়ে  আমিনিয়ে এসেছি আপনি যেটা লাগে সেটা নিন
এই শার্টটা তুমি ফরলে তোমাকে নায়খের মত লাইগবো,এই শার্টটা তুমি পরলে তোমাকে নায়ক মনে হবে
ইকান থেইকা কোনটা নিবা মানে কিতা,এখান থেকে কোনটা নেবে মানে কী
তুমি দেখি কইন্যা যে ফরে বিয়ার সময় ইতা শাড়ি লইতাছ,তুমি তো দেখি কনে যে বিয়েতে পরে সেরকম শাড়ি নিচ্ছ
তোমার বইনটইন নাই তারার বিয়ার লাইগাও লউ,তোমার বোন টোন নেই তাদের বিয়ের জন্যও নাও
আফনে যে সুন্দর আফনে যিতা ফরবাইন আফনারে তাত মানাইব,"আপনি তো সুন্দর, আপনি যেটা পরবেন সেটাই আপনাকে মানাবে"
ফছন্দ খরেন আমি আছিতো,"পছন্দ করেন, আমি তো আছি"
আমার ফাসফোরট এর মেয়াদ আছিলনা রিনু খরাইছি,"আমার পাসপোর্টের মেয়াদ ছিল না, রিনিউ করিয়েছি"
ইকানো সেকেন্ড লন্ডন নামে একটা জাগা আছে জানুইননি,"এখানে সেকেন্ড লন্ডন নামে একটা জায়গা আছে, জানেন কি"
আমি আফনারারে সিলেট লইয়া জাইমু,আমি আপনাদের সিলেট নিয়ে যাব
ফাইভ স্টার হোটেলে রাখমু খাইবা দাইবা চাবাগান দেখবায়,ফাইভ স্টার হোটেলে রাখব খাবেন দাবেন চা বাগান দেখবেন
অ ফুত আমার খুব ইচ্ছা লন্ডন যাইতাম,ও বাবা আমার খুব ইচ্ছা লন্ডন যাওয়ার
জরাইয়া দরা লাগতনা দুর তেইকা ই মাতক্কা,"জড়িয়ে ধরা লাগবেনা, দূর থেকেই বলো"
সিরিয়াস কতা কউক্কা,সিরিয়াস কথা বলো
হুইনছনি  কিতা কয় তোমার বান্ধবি,শুনেছ কী বলে তোমার বান্ধবী
ফরে যে এখটা অফার দিছুইন আমাকে ইতা কইন,তারপর আমাকে যে একটা অফার দিয়েছেন এটা বলেন
হেরাই দেখি ঘরর মদ্ধে আইয়া আমার লগে মাতে,তারাই তো দেখি ঘরের মধ্যে এসে আমার সাথে কথা বলে
কারে থুইয়া কারে বিয়া কইরতাম,কাকে রেখে কাকে বিয়ে করবো
আফনারা কিতা চাইন কইনছে আমারে,আপনারা কী চান বলুন তো আমাকে
আফনারা কি ফুরি বিয়া দিয়া আমারে দামান বানাইতে চাইন,আপনারা কি মেয়ে বিয়ে দিয়ে আমাকে জামাই বানাতে চান
সইত্য কুনু সময় চাফা দিয়া রাইখতে ফাইরবাইননি,সত্যি কথা কখনও চাপা দিয়ে রাখতে পারবেন না
আমি ছিটার অ না আমি বাটফার অ না,আমি চিটার নই আর আমি বাটপারও নই
আমার চাছতো বাইরা লন্ডন গেছিল,আমার চাচাত ভাই লন্ডন গিয়েছিল
আমি কইছলাম আমারে নিতে আমারে কেউ নেনা,আমি বলেছিলাম আমাকে নিয়ে যেতে কিন্তু কেউ নেয় না
আমার তো নেশা লন্ডন যাইতাম,আমার তো নেশা লন্ডন যাওয়ার
মালয়শিয়ায় দালালের খপ্পরে পরিয়া গেছি,মালয়েশিয়ায় দালালের খপ্পরে পড়েছি
দালাল আমারে ইউরোপ লইয়া যাইবো,দালাল আমাকে ইউরোপ নিয়ে যাবে
সমুদ্রপথে আমরা ২৬ জন এখলগে আমরা ইটালিত গেছলাম,সমুদ্রপথে আমরা ২৬ জন একসঙ্গে ইতালি গিয়েছিলাম
হিনো গিয়া বাতের খষ্ট খরছি,সেখানে গিয়ে অনেক কষ্ট করেছি
লন্ডনে যাউয়ার গইল্প শুইনছেন,লন্ডনে যাওয়ার গল্প শুনেছেন
তুমি যদি আমারে বিয়া খরো খরো,"তুমি যদি আমাকে বিয়ে করো, করো"
না খরলে কুনু আফত্তি নাই,না করলে কোনো আপত্তি নেই
কিন্তু আমি তুমারে মন থাকি বিয়া কইরতাম চাইছলাম,কিন্তু আমি তোমাকে মন থেকে বিয়ে করতে চেয়েছিলাম
আমি দৌড় দিরাম,আমি দৌড় দিচ্ছি
ভিউয়ার ওবাইদি আয়,ভিউয়ার এদিকে আসো
তাম্মি আপা হোবাইদি যাও,তাম্মি আপা ওইদিকে যাও
তুমি কুনখান থাকি আইছো,তুমি কোথা থেকে এসেছো
উরি চাতনি দিয়া বাত খাইরাম,শিম ভর্তা দিয়ে ভাত  খাই
বাড়িত মেয়মান আইছুইন,বাড়িতে মেহমান এসেছে
হুটকি দিয়া বাইঙ্গন রানচুইন,বেগুন দিয়ে শুটকি মাছ রান্না হইছে
সখাল দশটার সময় বাইর হইছি,সকাল দশটার সময় বের হয়েছি
ফেটের বুকে কিতা খাইবা,পেটের ক্ষুধা মেটানোর জন্য কী খাবে
বিয়াইর বাড়ি এয়ারফোরট জাইতে হাইঞ্জা হই গেছে,বেয়াই এর বাড়ি এয়ারপোর্ট যেতে সন্ধ্যা হয়ে গেছে
বিসখুট টা লইলাইনা,বিস্কুটটা নিয়ে নিলে না
বিসখুট লইলে এনে বইয়া বইয়া খাইলাম অইলে,বিস্কুট আনলে এখানে বসে বসে খেতাম
খালি লইয়া আইছো কিতা খেতের মূলা,শুধু এনেছ কী ক্ষেতের মুলা
ফাচ মিনিট দইরা আমারে ঠেলাই লইয়া আইলা,পাঁচ মিনিট ধরে আমাকে দিয়ে ঠেলে নিয়ে এলে
তোমার গাড়িত উইঠঠা ত দেখি আমি আরো বিপদে ফরছি,তোমার গাড়িতে উঠে দেখি আমি আরও বিপদে পড়েছি
আর ফারতামনা ঠেলাইতে ঠেলাইতে আমার গাও চইলা আইছে মিয়া,আর পারবোনা ঠেলতে ঠেলতে আমার গ্রাম ই চলে এসেছে মিয়া
স্টার্ট হই গেলে বেশি সময় লাগতনা,স্টার্ট হলে বেশি সময় লাগবেনা
দিয়াইমু আফনারে জাগাত,ঠিক জায়গায় পৌঁছে দিবো আপনাকে
তুমি আর খই নিয়া দিতা আমারে,তুমি আর কোথায় নিয়ে দিয়ে আসবা আমাকে
ফাউল মানুষ কুনখানর,ফাউল মানুষ কোথাকার
ইতা খিতা কইন আফনার বাড়িত আইচ্চি,এসব কি বলেন আপনার বাড়িতে এসেছি
হালার ফাগল রে স্টার্ট হইলাইনা,গাধাটাকে স্টার্ট দিলেও হয়নি
ঠেলায়া ঠেলায়া জাগার মাল জাগাত লইয়া আইলা,ঠেলে ঠেলে জায়গার জিনিস জায়গায় নিয়ে এলে
এর থাকি হাইটা আইলে আমি আরো সখালে আইলাম অনে,এর চেয়ে হেঁটে এলে আরও সকালে আসতাম
উঠি যান ঠেলা দুক্কা আর ভারা উরা দেওয়া লাগতনা,উঠে যান ঠেলা দেন আর ভাড়াটাড়া দেয়া লাগবেনা
ভাড়া দিতাম অ না তোমারে,তোমাকে ভারা দিবো ও না
চা টা বড়ো মজা হইছে মনো বউয়ে জাল দিসে,চাটা খুব মজা হয়েছে মনে হয় বউ নিজে বানিয়েছে
জি না তোমার বউ মায়ে চা জাল দিছুইননা,"জি না, তোমার বউ মা চা জ্বাল দেয়নি"
চা আমি জাল দিসি এর লাগি মজা অইছে,"চা আমি জ্বাল দিয়েছি, তাই মজাদার হয়েছে"
এর লাগি ত মিডা কম অইছে,এর জন্যই তো মিষ্টি কম হয়েছে
অয় অয় আমি দেখলাম তুমি খিতা কউ,হ্যাঁ হ্যাঁ আমি দেখলাম তুমি কি বলো
আব্বা খিতা খইরাইন,আব্বা কি করেন
হুনলাম আজকে আমার হউর বুইলে আইরাইন,শুনলাম আজকে আমার শ্বশুর নাকি আসছেন
কিতা খস বেটা আর কুন সময় আইতা,"কী বলছো, এত দেরি করে আসছে কেন"
আম্মা সখালে ফোন দিয়া কইলা আব্বা দশটার সময় রউনা দিছুইন,"আম্মা সকালে ফোন করে বললেন, আব্বা দশটায় রওনা দিয়েছেন"
অবু আইলানা,তবুও এখনও আসেননি
খারন খিতা বুঝলামনা,কারণ কি বুঝতেছিনা
ইকানো চিন্তার কিতা আছে,এত চিন্তা করার কী আছে
তাইনে তো আর মহিলা মানুষ না,তিনি তো আর মহিলা মানুষ নন
ইগুরে কন্ট্রোল কইরা লইয়া আইতে আইতে আরো একদিন দরখার,ওকে নিয়ন্ত্রণ করে নিয়ে আসতে আসতে হয়তো আরও একদিন সময় লাগবে
আরো খত জাতের বিরতি আছে,আরো কত ধরনের বিরতি আছে
আইচ্চা বেডা আস্তে ধীরেই আউকগা,"ঠিক আছে, ধীরে ধীরে আসুক"
আমার আব্বা আর বাইসাবরে তাইনে কিতা কইরা,আমার আব্বা আর ভাইসাহেবকে তিনি কি বললেন
ও বেডি দেখুনানি তার বাফের লগে আর আমার লগেও ডং করে,"ও মেয়ে দেখোনা, তার বাবার আর আমার সাথেও সে কেমন ঢং করে"
আবার ডেক্কা দেউয়া লাগবনি,আবার ধাক্কা দেয়া লাগবে নাকি
এমনো মিজাজতা রিকশার ডাইভারে খারাপ করি দিছে,এমনেই মেজাজটা রিক্সার ড্রাইভার খারাপ করে দিয়েছে
তুমি আর করিওনা,তুমি আর করো না
এমনই বালা লাগেনা অশান্তি অশান্তি লাগে,এমনি ভালো লাগেনা শুধু অশান্তি অশান্তি লাগে
ইতা ত বিস্কুট না ইতা ত টিস্যু,"এটা তো বিস্কুট নয়, এটা তো টিস্যু"
ইতা ত খাইননা ইতা দিয়া মুখ ফুছুইন,"এটা তো খাবার নয়, এটা দিয়ে মুখ মোছে"
ইতা ত হাউয়াই মিঠাই লাগে,এটা তো হাওয়াই মিঠাইয়ের মতো লাগছে
